version,trial_unique,Target,Foil,ANIMATE,ANIMATE_,StimChar
2,1_4,star.png,snake.png,ANIMATE_D,ANIMATE,aDist_f
2,1_8,carrot.png,horse.png,ANIMATE_D,ANIMATE,aDist_f
2,1_13,book.png,elephant.png,ANIMATE_D,ANIMATE,aDist_f
2,2_19,bed.png,pig.png,ANIMATE_D,ANIMATE,aDist_f
2,2_20,refrigerator.png,lion.png,ANIMATE_D,ANIMATE,aDist_f
2,2_26,hat.png,chicken(animal).png,ANIMATE_D,ANIMATE,aDist_f
2,3_28,mouth.png,turtle.png,ANIMATE_D,ANIMATE,aDist_f
1,3_35,Arm,Lion,ANIMATE_D,ANIMATE,aDist_f
1,3_39,Mouth,turtle,ANIMATE_D,ANIMATE,aDist_f
1,4_52,Refrigerator,Bird,ANIMATE_D,ANIMATE,aDist_f
2,1_11,cat.png,water(beverage).png,ANIMATE_T,ANIMATE,aTarget_f
2,1_12,tiger.png,pushchair/buggy/stroller.png,ANIMATE_T,ANIMATE,aTarget_f
2,3_32,sheep.png,sock.png,ANIMATE_T,ANIMATE,aTarget_f
2,3_38,baby.png,cup.png,ANIMATE_T,ANIMATE,aTarget_f
2,4_41,spider.png,banana.png,ANIMATE_T,ANIMATE,aTarget_f
2,4_46,bee.png,hair.png,ANIMATE_T,ANIMATE,aTarget_f
2,4_52,cow.png,train.png,ANIMATE_T,ANIMATE,aTarget_f
1,1_8,Chicken(animal),Balloon,ANIMATE_T,ANIMATE,aTarget_f
1,2_17,horse,Telephone,ANIMATE_T,ANIMATE,aTarget_f
1,3_28,Butterfly,Ear,ANIMATE_T,ANIMATE,aTarget_f
1,3_31,Spider,apple,ANIMATE_T,ANIMATE,aTarget_f
1,3_36,Tiger,toast,ANIMATE_T,ANIMATE,aTarget_f
1,4_47,Dog,Bike,ANIMATE_T,ANIMATE,aTarget_f
1,4_50,Pig,Baby,ANIMATE_T,NOANIMATE,aBoth_f
2,1_6,bowl.png,button.png,NOANIMATE,NOANIMATE,aNeither_f (inaBoth_f)
2,2_15,moon.png,balloon.png,NOANIMATE,NOANIMATE,aNeither_f (inaBoth_f)
2,2_21,hoover.png,hand.png,NOANIMATE,NOANIMATE,aNeither_f (inaBoth_f)
2,2_23,bus.png,toast.png,NOANIMATE,NOANIMATE,aNeither_f (inaBoth_f)
2,3_29,finger.png,telephone.png,NOANIMATE,NOANIMATE,aNeither_f (inaBoth_f)
2,3_31,jumper.png,car.png,NOANIMATE,NOANIMATE,aNeither_f (inaBoth_f)
2,3_35,coat.png,boat.png,NOANIMATE,NOANIMATE,aNeither_f (inaBoth_f)
2,4_43,clock.png,flower.png,NOANIMATE,NOANIMATE,aNeither_f (inaBoth_f)
2,4_49,bike.png,head.png,NOANIMATE,NOANIMATE,aNeither_f (inaBoth_f)
2,4_50,blanket.png,bell.png,NOANIMATE,NOANIMATE,aNeither_f (inaBoth_f)
1,1_2,sock,Flower,NOANIMATE,NOANIMATE,aNeither_f (inaBoth_f)
1,1_5,Spoon,Hand,NOANIMATE,NOANIMATE,aNeither_f (inaBoth_f)
1,1_9,Bin(Basket),Brush,NOANIMATE,NOANIMATE,aNeither_f (inaBoth_f)
