RECORDING_SESSION_LABEL,Final_ID,familiarU,familiarU_per,OCDI_U,percentiles_U,Quartiles_U,Quartiles2_U,familiarS,familiarS_per,OCDI_S_2_10,%OCDI_2_10,Trials,Age_days,Age_months,Gender,Order,OCDI_S,percentiles_S_new2023,percentiles_S_new,Quartiles_S_split,Quartiles_S,Quartiles2_S,percentiles_S_new_Jan2023,Quartiles_S_split_Jan2023,Quartiles2_S_Jan2023,percentiles_S_June2023,Quartiles2_S_June2023
VPAR051B,14VPARXX051B,48,59.26,140,80,100,>25,24,29.63,31,52.54,32,452,14,Male,1,59,97,93,100,100,>25,97,75,>25,96,>25
VPAR038G,15VPARXX038G,52,64.2,177,79,100,>25,9,11.11,13,39.39,48,486,15,Female,1,33,87,88,100,100,>25,87,75,>25,77,>25
VPAR046B,15VPARXX046B,22,27.16,73,32,75,>25,1,1.23,3,50,48,474,15,Male,1,6,32,22,25,25,<25,32,25,>25,27,>25
vpar060g,16VPARXX060G,,,7,,,,,,,,12,501,16,Female,1,4,8,,75,75,>25,,,,9,<25
VPAR061G,16VPARXX061G,,,,,,,,,,,44,515,16,Female,2,,,,,,,,,,,
VPAR049B,16VPARXX049B,,,306,,,,,,,,25,513,16,Male,2,41,86,,100,100,>25,,,,83,>25
VPAR052G,17VPARXX052G,63,77.78,202,76,100,>25,1,1.23,1,4.76,40,535,17,Female,2,21,41,40,50,75,>25,41,25,>25,41,>25
VPAR030B,17VPARXX030B,,,102,,,,,,,,21,520,17,Male,2,2,3,,25,25,<25,,,,7,<25
VPAR017G,18VPARXX017G,78,96.3,271,85,100,>25,0,0,1,16.67,48,569,18,Female,1,6,9,14,25,25,<25,9,0,<25,8,<25
VPAR019G,18VPARXX019G,79,97.53,319,95,100,>25,65,80.25,113,64.2,14,552,18,Female,1,176,97,98,100,100,>25,97,75,>25,95,>25
VPAR023G,18VPARXX023G,,,416,,,,,,,,20,564,18,Female,2,65,80,,100,100,>25,,,,79,>25
VPAR016B,18VPARXX016B,39,48.15,144,48,75,>25,12,14.81,14,46.67,39,564,18,Male,1,30,61,56,75,75,>25,61,50,>25,57,>25
VPAR047B,18VPARXX047B,77,95.06,315,95,100,>25,7,8.64,12,31.58,35,553,18,Male,2,38,66,62,75,75,>25,66,50,>25,60,>25
VPAR063B,18VPARXX063B,79,97.53,285,89,100,>25,32,39.51,49,55.68,48,561,18,Male,1,88,89,87,100,100,>25,89,75,>25,84,>25
VPAR003G,19VPARXX003G,67,82.72,238,53,75,>25,7,8.64,7,33.33,36,587,19,Female,1,21,5,23,25,25,<25,5,0,<25,16,<25
VPAR064G,19VPARXX064G,60,74.04,201,38,75,>25,34,41.98,46,54.12,48,595,19,Female,1,85,54,58,75,75,>25,54,75,>25,54,>25
VPAR037G,19VPARXX037G,,,418,,,,,,,,25,580,19,Female,2,265,100,,100,100,>25,,,,98,>25
VPAR004B,19VPARXX004B,29,35.8,87,7,25,<25,9,11.11,11,52.38,48,580,19,Male,1,21,36,23,25,25,<25,36,25,>25,32,>25
VPAR050B,19VPARXX050B,52,64.2,147,20,25,<25,21,25.93,27,50,47,599,19,Male,2,54,52,41,50,75,>25,52,50,>25,43,>25
VPAR053B,19VPARXX053B,80,98.77,315,77,100,>25,74,91.36,137,64.02,32,603,19,Male,2,214,91,93,100,100,>25,91,75,>25,89,>25
VPAR009G,20VPARXX009G,80,98.77,349,90,100,>25,78,96.3,154,57.68,48,635,20,Female,1,267,95,94,100,100,>25,96,75,>25,90,>25
VPAR012G,20VPARXX012G,80,98.77,330,84,100,>25,69,85.19,134,58.01,41,616,20,Female,2,231,86,88,100,100,>25,86,75,>25,81,>25
VPAR041G,20VPARXX041G,81,100,418,100,100,>25,78,96.3,168,57.34,48,614,20,Female,2,293,100,97,100,100,>25,100,75,>25,96,>25
VPAR007B,20VPARXX007B,67,82.72,233,54,75,>25,5,6.17,6,22.22,48,609,20,Male,2,27,23,22,25,25,<25,23,0,<25,15,<25
VPAR011B,20VPARXX011B,79,97.53,345,89,100,>25,41,50.62,53,64.63,26,629,20,Male,2,82,56,54,75,75,>25,56,50,>25,61,>25
VPAR006B,20VPARXX006B,81,100,418,100,100,>25,70,86.42,130,65.66,48,618,20,Male,1,198,86,78,100,100,>25,86,75,>25,87,>25
VPAR025G,21VPARXX025G,13,16.05,59,2,25,<25,0,0,0,0,24,655,21,Female,1,3,0,0,25,25,<25,0,0,<25,0,<25
VPAR008G,21VPARXX008G,80,98.77,359,86,100,>25,80,98.77,180,53.89,48,658,21,Female,2,334,89,99,100,100,>25,98,75,>25,95,>25
VPAR059G,21VPARXX059G,79,97.53,416,100,100,>25,79,97.53,183,47.29,48,660,21,Female,1,387,100,100,100,100,>25,100,75,>25,100,>25
VPAR048G,21VPARXX048G,,,242,,,,,,,,29,640,21,Female,1,25,2,,25,25,<25,,,,1,<25
VPAR045B,21VPARXX045B,77,95.06,302,59,75,>25,12,14.81,17,50,48,668,21,Male,1,34,10,12,25,25,<25,10,0,<25,9,<25
vpar062b,21VPARXX062B,14,17.28,37,1,25,<25,1,1.23,1,20,48,647,21,Male,2,5,2,1,25,25,<25,2,0,<25,1,<25
VPAR055B,21VPARXX055B,79,97.53,397,96,100,>25,24,29.63,34,45.95,19,654,21,Male,2,74,26,32,75,75,>25,26,50,>25,39,>25
VPAR034G,22VPARXX034G,80,98.77,249,42,25,<25,34,41.98,53,64.63,48,691,22,Female,2,82,25,54,75,75,>25,13,0,<25,27,>25
VPAR027G,22VPARXX027G,81,100,321,69,25,<25,79,97.53,155,51.84,48,690,22,Female,1,299,83,100,100,100,>25,100,75,>25,74,>25
VPAR044G,22VPARXX044G,,,352,,,,,,,0,25,696,22,Female,1,259,78,,100,100,>25,,,,54,>25
VPAR013B,22VPARXX013B,80,98.77,412,100,100,>25,75,92.59,163,45.4,48,699,22,Male,2,359,100,100,100,100,>25,100,75,>25,98,>25
VPAR020B,22VPARXX020B,80,98.77,325,70,25,<25,60,74.07,98,55.37,48,675,22,Male,1,177,65,86,100,100,>25,85,75,>25,52,>25
VPAR026B,22VPARXX026B,76,93.83,319,69,25,<25,50,61.73,86,67.72,48,688,22,Male,2,127,55,75,75,75,>25,79,75,>25,40,>25
VPAR028B,22VPARXX028B,81,100,350,77,100,>25,33,40.74,61,50.83,48,670,22,Male,2,120,54,73,75,75,>25,78,75,>25,39,>25
VPAR029B,22VPARXX029B,80,98.77,342,75,75,>25,62,76.54,104,52.53,35,691,22,Male,1,198,75,88,100,100,>25,88,75,>25,60,>25
VPAR021G,23VPARXX021G,59,72.84,203,17,25,<25,27,33.33,32,56.14,48,726,23,Female,1,57,10,13,25,25,<25,10,0,<25,17,<25
VPAR010G,23VPARXX010G,81,100,417,99,100,>25,81,100,174,49.71,32,725,23,Female,1,350,84,87,100,100,>25,84,75,>25,76,>25
VPAR031G,23VPARXX031G,81,100,369,78,100,>25,78,96.3,161,51.6,9,724,23,Female,1,312,80,85,100,100,>25,80,75,>25,70,>25
VPAR058B,23VPARXX058B,80,98.77,318,64,75,>25,67,82.72,122,53.04,47,723,23,Male,2,230,74,69,75,75,>25,74,50,>25,61,>25
VPAR005B,23VPARXX005B,81,100,418,100,100,>25,72,88.89,145,56.2,40,702,23,Male,2,258,94,81,100,100,>25,94,75,>25,80,>25
VPA054B,23VPARXX054B,81,100,371,79,100,>25,79,97.53,161,49.39,44,728,23,Male,2,326,98,86,100,100,>25,98,75,>25,90,>25
VPAR036G,24VPARXX036G,81,100,417,100,100,>25,80,98.77,154,55.2,48,744,24,Female,2,279,70,70,75,75,>25,70,50,>25,56,>25
VPAR42G,24VPARXX042G,81,100,396,94,100,>25,76,93.83,135,60.81,33,754,24,Female,2,222,59,56,75,75,>25,59,50,>25,39,>25
VPAR001G,24VPARXX001G,81,100,418,100,100,>25,80,98.77,165,45.21,36,740,24,Female,1,365,91,91,100,100,>25,91,75,>25,83,>25
VPAR015B,24VPARXX015B,81,100,413,100,100,>25,55,67.9,82,57.34,36,758,24,Male,2,143,54,51,75,75,>25,54,50,>25,42,>25
VPAR056B,24VPARXX056B,81,100,418,100,100,>25,81,100,173,51.64,36,752,24,Male,1,335,93,87,100,100,>25,93,75,>25,81,>25
